"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"MUT","VL1218","OTB","PORTOFINO",17258.7737335105,5.80412462795461,3087.86369106477
"MUT","VL1824","OTB","ANZIO",0,0,19804.4679963164
"MUT","VL1824","OTB","CHIAVARI",0,0,8531.15544456708
"MUT","VL1824","OTB","CIVITAVECCHIA",0,0,18046.6749788919
"MUT","VL1824","OTB","FIUMICINO",0,0,19994.8955732041
"MUT","VL1824","OTB","IMPERIA",0,0,15995.9164585633
"MUT","VL1824","OTB","LIVORNO",0,0,7109.2962038059
"MUT","VL1824","OTB","PORTO ERCOLE",0,0,12796.7331668506
"MUT","VL1824","OTB","PORTO SANTO STEFANO",0,0,18046.6749788919
"MUT","VL1824","OTB","PORTOFERRAIO",0,0,3554.64810190295
"MUT","VL1824","OTB","SAVONA",0,0,21327.8886114177
"MUT","VL1824","OTB","VIAREGGIO",0,0,21327.8886114177
"MUT","VL2440","OTB","ANZIO",5.43354619169096,0.177438361855535,232.575997238022
"MUT","VL2440","OTB","CIVITAVECCHIA",11.703022566719,0.382174933227306,500.932917128048
"MUT","VL2440","OTB","LA SPEZIA",76.0696466836735,2.48413706597749,3256.06396133231
"MUT","VL2440","OTB","PORTO SANTO STEFANO",5.8515112833595,0.191087466613653,250.466458564024
"MUT","VL2440","OTB","PORTOFERRAIO",63.3913722363946,2.07011422164791,2713.38663444359
"NEP","VL1218","OTB","CHIAVARI",31472.084737927,13.2669290598059,2209.415558249
"NEP","VL1218","OTB","FIUMICINO",3278.34216020073,1.38197177706311,230.147453984271
"NEP","VL1218","OTB","GENOVA",52453.4745632116,22.1115484330098,3682.35926374833
"NEP","VL1218","OTB","IMPERIA",13113.3686408029,5.52788710825245,920.589815937083
"NEP","VL1218","OTB","LIVORNO",34968.9830421411,14.7410322886732,2454.90617583222
"NEP","VL1218","OTB","PIOMBINO",52453.4745632116,22.1115484330098,3682.35926374833
"NEP","VL1218","OTB","PORTO ERCOLE",20981.3898252847,8.84461937320392,1472.94370549933
"NEP","VL1218","OTB","PORTO SANTO STEFANO",4034.88265870859,1.70088834100075,283.258404903718
"NEP","VL1218","OTB","PORTOFINO",52453.4745632116,22.1115484330098,3682.35926374833
"NEP","VL1824","OTB","ANZIO",1011.98209914966,1.64426963207361,5526.6159191408
"NEP","VL1824","OTB","CHIAVARI",435.93075040293,0.708300764585556,2380.69608824527
"NEP","VL1824","OTB","CIVITAVECCHIA",922.16120277543,1.49832854046945,5036.08787898037
"NEP","VL1824","OTB","FIUMICINO",1021.71269625687,1.6600799169974,5579.75645682484
"NEP","VL1824","OTB","IMPERIA",817.370157005495,1.32806393359792,4463.80516545988
"NEP","VL1824","OTB","LIVORNO",363.275625335775,0.59025063715463,1983.91340687106
"NEP","VL1824","OTB","PORTO ERCOLE",653.896125604396,1.06245114687833,3571.0441323679
"NEP","VL1824","OTB","PORTO SANTO STEFANO",922.16120277543,1.49832854046945,5036.08787898037
"NEP","VL1824","OTB","PORTOFERRAIO",181.637812667888,0.295125318577315,991.956703435528
"NEP","VL1824","OTB","SAVONA",1089.82687600733,1.77075191146389,5951.74022061317
"NEP","VL1824","OTB","VIAREGGIO",1089.82687600733,1.77075191146389,5951.74022061317
"NEP","VL2440","OTB","ANZIO",62.5833937794348,0.500248362922512,838.220791906506
"NEP","VL2440","OTB","CIVITAVECCHIA",134.795001986475,1.07745801244849,1805.39862872171
